Actual idiom,Literal Translation,English Pronounciation,English_Translation,Human Annotation & With descriptions,Image_ID
अधजल गगरी छलकत जाय।,A half-filled pitcher spills over.,Adhjal Gagari Chalkat Jaye.,Only ignorant men boast of their knowledge.,"The Hindi idiom ""अधजल गगरी छलकत जाय"" translates to ""A half-filled pot spills more."" It means that people with less knowledge or substance often make more noise or show off more than those who are truly knowledgeable or capable. The imagery involves a pot that is only half full of water, which tends to spill more easily compared to a fully filled pot, symbolizing superficiality and pretentiousness.",1.png
अपने मुँह मियाँ मिट्ठू बनाना।,To praise oneself.,Apne Munh Miya Mithu Banana.,You should brag about yourself.,"The Hindi idiom ""अपने मुँह मियाँ मिट्ठू बनाना"" translates to ""tooting one's own horn"" in English.  It describes a person who praises themselves excessively or boasts about their own achievements. An image representing this idiom could depict a person holding a mirror and smiling proudly at their reflection, or someone speaking into a megaphone with self-congratulatory expressions, surrounded by symbols of praise like trophies or medals.",2.png
अपने हाथ में अपना भाग्य होना।,To have one's fate in one's own hands.,Apne Haath Mein Apna Bhagya Hona.,to serve one's own interests,"The idiom ""अपने हाथ में अपना भाग्य होना"" translates to ""Having one's destiny in one's own hands"" in English. This phrase signifies that an individual has control over their own fate or future through their actions, decisions, and efforts. It emphasizes self-reliance, personal responsibility, and the power of individual agency in shaping one's life. An image representing this idiom might depict a person holding a key or steering a ship, symbolizing control and direction over their own path.",3.png
अपना उल्लू सीधा करना।,To straighten one's own owl.,Apna Ullu Seedha Karna.,,"The Hindi idiom ""अपना उल्लू सीधा करना"" translates to ""straightening one's own owl"" in English. It means to look out for one's own interests or to manipulate a situation for personal gain. An image representing this idiom could depict a person subtly adjusting or guiding an owl to face a particular direction, symbolizing the act of maneuvering circumstances to benefit oneself. The scene might include elements that suggest cunning or self-serving behavior, such as a sly expression on the person's face or a setting that implies strategic planning.",4.png
अँगारे बरसना,To rain embers.,Angaare Barsna.,Excessive heat.,"The Hindi idiom 'अँगारे बरसना' translates to 'raining embers' in English. It is used to describe a situation where someone is facing extreme difficulty, intense criticism, or severe hardship, as if fiery embers are falling upon them. The imagery evokes a sense of intense heat and discomfort, symbolizing the severity of the challenges or adversities one is enduring.",5.png
अपना-सा मुँह लेकर रह जाना,To be left with one's own face.,Apna-sa Munh Lekar Reh Jana.,to be very embarrassed,"The Hindi idiom 'अपना-सा मुँह लेकर रह जाना' translates to ""being left with one's own face"" in English. It describes a situation where someone feels embarrassed, disappointed, or humiliated, often after their expectations are not met or their actions do not yield the desired results. The imagery for this idiom could depict a person looking dejected or crestfallen, perhaps with a downcast expression, symbolizing their sense of defeat or embarrassment.",6.png
अपनी खिचड़ी अलग पकाना,To cook one's own khichdi separately.,Apni Khichdi Alag Pakana.,To do different work.,"The idiom 'अपनी खिचड़ी अलग पकाना' translates to ""cooking one's own khichdi separately"" in English. It describes a situation where someone prefers to do things independently or in their own way, often isolating themselves from the group or common practice. The imagery involves a person cooking a pot of khichdi (a traditional Indian dish made of rice and lentils) alone, away from others who might be cooking together. This highlights the individual's desire for autonomy and self-sufficiency.",7.png
अभिभूत होना।,To be overwhelmed.,Abhibhoot Hona.,To be overwhelmed with emotion.,"The Hindi idiom 'अभिभूत होना' translates to 'to be overwhelmed' in English. It describes a state of being deeply affected by strong emotions, whether they are positive or negative. This could be due to an unexpected event, a powerful experience, or an intense feeling. An image representing this idiom might depict a person with a wide range of emotions on their face, surrounded by elements that signify the cause of their overwhelming feelings, such as a beautiful sunset, a pile of work, or a crowd of people.",8.png
आँखों पर परदा पड़ना,A curtain falls on the eyes.,Aankhon Par Parda Padna.,Do not pay attention to adversity.,"The Hindi idiom 'आँखों पर परदा पड़ना' translates to ""a veil over the eyes"" in English. It signifies a situation where someone is unable to see or understand the truth due to ignorance, bias, or deliberate denial. The imagery for this idiom could include a person with a literal or metaphorical veil or curtain over their eyes, symbolizing their inability to perceive reality clearly.",9.png
आँखें चार होना,Eyes become four.,Aankhen Chaar Hona.,To be in love.,"The Hindi idiom 'आँखें चार होना' translates to 'eyes meeting' in English. It describes the moment when two people make eye contact, often implying a connection, understanding, or attraction between them. This phrase is commonly used to signify the initial spark or recognition between individuals, whether in a romantic, friendly, or confrontational context. An image representing this idiom might depict two people looking into each other's eyes, capturing the essence of their shared moment of connection.",10.png
आड़े हाथों लेना।,To take with crossed hands.,Aade Haathon Lena.,To embarrass.,"The Hindi idiom 'आड़े हाथों लेना' translates to ""to take someone to task"" or ""to reprimand someone severely"" in English. It describes a situation where a person is being scolded or criticized harshly for their actions or behavior. An image representing this idiom could depict a scene where one person is angrily pointing a finger or raising their voice at another person, who appears to be on the receiving end of the reprimand, possibly looking apologetic or defensive.",11.png
